frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,source_anchor_frame_id,source_anchor_locked,protected_anchor_ids,loop_closure_detected,turn_result,policy_mode,allow_memory_query,allow_hard_retrieve,allow_soft_reuse,query_result,candidate_count,best_candidate_frame_id,best_candidate_score,best_candidate_pose_distance,best_candidate_yaw_delta,best_candidate_frame_gap,best_candidate_first_visit,best_candidate_visit_age,best_candidate_cluster_id,best_candidate_first_visit_frame_id,target_window_ids,retrieved_window_ids,window_rank_reason,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,revisit_gate_allow_retrieve,revisit_gate_allow_soft_reuse,revisit_gate_force_progress,revisit_gate_protect_current,revisit_gate_reason,revisit_type,selection_is_hard_retrieve,selection_is_soft_reuse,selection_is_progress,action_mode,action_mode_confidence,action_mode_reason,scheduler_path,turn_state,turn_confidence,turn_duration,turn_direction,turn_reason,window_layout_type,window_reason,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory,use_pose_path_memory,reference_override_used,retrieved_reference_active,retrieved_reference_ids,anchor_frame_id,anchor_distance,anchor_gap,anchor_lag,anchor_advance_triggered
9,2,5,9,0.9850282520055771,3,3-4-5,9,225280,0.0,0.0,692.5036367028952,0.9850282520055771,0.9850282520055771,0.9850282520055771,0.0,0.0,0.0,0.0,692.5036367028952,0.9850282520055771,0.014971747994422913,l1,False,False,KEEP,physmem_rule,action_mode_view_rotation_protect|mode=Viewpoint Locomotion|turn=TurnStart|view=Novel View|selection=protect_current|trajectory=Starting:right|prev=KEEP,0.6568874804158453,0.9850282520055771,Viewpoint Locomotion,depth,physmem_keep,0 1 2 3 4 5 6 7 8,0 1 2 6 7 8 9 10 11,0.6663677496442973,0.01996229369068322,-0.0598958320915699,0.0,0.6663677496442973,0.01996229369068322,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,1.0,0.6666666865348816,Novel View,0.0,inf,inf,,,,,protect_current,,,move=0.6667:view=0.0599:Viewpoint Locomotion,2,True,2,False,TurnStart,TurnStartPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,right,1,0.6666666865348816,False,0.75,False,False,True,False,novel_view_progress,,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->protect_current,TurnStart,0.7486979011446238,1,left,rotation=0.0599,protect_current,TurnStart:protect_current,Turn Left,Right,True,True,viewpoint_locomotion,True,True,False,False,,2,-1.0,7,-1.0,False
12,2,8,12,0.9782916028052568,6,6-7-8,9,225280,0.0,0.0,64.34439634904265,0.9782916028052568,0.9782916028052568,0.9782916028052568,0.0,0.0,0.0,0.0,64.34439634904265,0.9782916028052568,0.021708397194743156,l1,True,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=turn_transition|trajectory=Idle:none|prev=KEEP,0.6272832838757177,0.9782916028052568,Turn Left,depth,physmem_keep,0 1 2 6 7 8 9 10 11,0 1 2 9 10 11 12 13 14,0.6663677496442973,0.01996229369068322,-0.2395833320915699,0.0,0.0,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,9,,,,turn_transition,,,rotation=0.1797,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,,False,False,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Left,View Rotation Only->turn_transition,TurnInProgress,1.0,2,left,rotation=0.1797,turn_transition,TurnInProgress:turn_transition,Turn Left,None,True,False,viewpoint_change,True,True,False,False,,2,-1.0,10,-1.0,False
15,2,11,15,0.9778348337858915,9,9-10-11,9,225280,0.0,0.0,63.95612983033061,0.9778348337858915,0.9778348337858915,0.9778348337858915,0.0,0.0,0.0,0.0,63.95612983033061,0.9778348337858915,0.022165166214108467,l1,True,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:left|prev=KEEP,0.7305973397213024,0.9778348337858915,Viewpoint Locomotion,depth,physmem_keep,0 1 2 9 10 11 12 13 14,0 1 2 12 13 14 15 16 17,0.345069132957115,-0.06879758828733987,-0.2994791641831398,0.0,-0.32129861668718235,-0.08875988197802309,-0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Known View,0.5377178604598918,0.3333333432674408,0.2395833320915699,9,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,3,left,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Left,Left,True,True,viewpoint_locomotion,True,True,False,False,,2,-1.0,13,-1.0,False
18,2,14,18,0.9336483776569366,0,0-1,9,225280,0.0,0.0,71.51826238259673,0.9336483776569366,0.9336483776569366,0.9336483776569366,0.0,0.0,0.0,0.0,71.51826238259673,0.9336483776569366,0.06635162234306335,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:right|prev=KEEP,0.5092840195062938,0.9336483776569366,Viewpoint Locomotion,depth,physmem_insert,0 1 2 12 13 14 15 16 17,2 12 13 14 15 16 17 18 19,0.6604784219946442,0.03903607121974452,-0.3593749962747097,0.0,0.3154092890375293,0.10783365950708439,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,0.6555028474294428,0.01996229369068325,0.2994791641831398,9,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,4,left,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Left,Right,True,True,viewpoint_locomotion,True,True,False,False,,2,-1.0,16,-1.0,False
21,13,16,20,0.95616589859128,14,14-15-16,9,225280,0.0,0.0,143.8666032627225,0.95616589859128,0.95616589859128,0.95616589859128,0.0,0.0,0.0,0.0,143.8666032627225,0.95616589859128,0.043834101408720016,l1,False,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:left|prev=INSERT,0.597779201977197,0.95616589859128,Viewpoint Locomotion,depth,physmem_keep,2 12 13 14 15 16 17 18 19,2 12 13 17 18 19 20 21 22,0.34506913295711494,-0.06879758828733987,-0.2994791641831398,0.0,-0.3154092890375293,-0.10783365950708439,-0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,1.0,5.551115123125783e-17,0.0,15,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,5,right,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Right,Left,True,True,viewpoint_locomotion,True,True,False,False,,13,-1.0,7,-1.0,False
24,13,19,23,0.9602869041264057,12,12-13,9,225280,0.0,0.0,53.691507782787085,0.9602869041264057,0.9602869041264057,0.9602869041264057,0.0,0.0,0.0,0.0,53.691507782787085,0.9602869041264057,0.039713095873594284,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=turn_transition|trajectory=Starting:right|prev=KEEP,0.6902773640479849,0.9602869041264057,Viewpoint Locomotion,depth,physmem_insert,2 12 13 17 18 19 20 21 22,2 17 18 19 20 21 22 23 24,0.6663677496442972,0.019962293690683225,-0.2395833320915699,0.0,0.32129861668718235,0.08875988197802309,0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Revisit,0.7433035714285714,1.1107649934270853e-16,0.1796875,9,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.3333,,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,6,right,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Right,Right,True,True,viewpoint_locomotion,True,True,False,False,,13,-1.0,10,-1.0,False
27,18,21,25,0.8993179425597191,19,19-20-21,9,225280,0.0,0.0,98.85510103777051,0.8993179425597191,0.8993179425597191,0.8993179425597191,0.0,0.0,0.0,0.0,98.85510103777051,0.8993179425597191,0.10068205744028091,l1,False,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=turn_transition|trajectory=Idle:none|prev=INSERT,0.5840893889332965,0.8993179425597191,Turn Right,depth,physmem_keep,2 17 18 19 20 21 22 23 24,2 17 18 22 23 24 25 26 27,0.6663677496442972,0.019962293690683225,-0.0598958320915699,0.0,0.0,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,23,,,,turn_transition,,,rotation=0.1797,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,,False,False,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Right,View Rotation Only->turn_transition,TurnInProgress,1.0,7,right,rotation=0.1797,turn_transition,TurnInProgress:turn_transition,Turn Right,None,True,False,viewpoint_change,True,True,False,False,,18,0.019962293690683214,7,0.019962293690683214,False
30,18,24,28,0.9149647727608681,22,22-23-24,9,225280,0.0,0.0,123.90649225562811,0.9149647727608681,0.9149647727608681,0.9149647727608681,0.0,0.0,0.0,0.0,123.90649225562811,0.9149647727608681,0.08503522723913193,l1,True,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=turn_transition|trajectory=Starting:backward|prev=KEEP,0.5579568001463584,0.9149647727608681,Viewpoint Locomotion,depth,physmem_keep,2 17 18 22 23 24 25 26 27,2 17 18 25 26 27 28 29 30,0.7129876555922678,-0.6450723334565056,-0.08007812313735485,0.0,0.046619905947970657,-0.6650346271471889,0.0,-0.6666666865348816,-0.02018229104578495,0.0,0.6666666865348816,0.02018229104578495,1.0,0.6666666865348816,Revisit,0.5267236979589576,0.6666666865348816,0.02018229104578495,9,,,,turn_transition,,,rotation=0.0202,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,backward,1,0.6666666865348816,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.6667,,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0202:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.2522786380723119,8,left,rotation=0.0202,turn_transition,TurnInProgress:turn_transition,Turn Left,Backward,True,True,viewpoint_locomotion,True,True,False,False,,18,0.6861206373238555,10,0.6861206373238555,False
33,18,27,31,0.8908150047063828,25,25-26-27,9,225280,0.0,0.0,76.21151814237237,0.8908150047063828,0.8908150047063828,0.8908150047063828,0.0,0.0,0.0,0.0,76.21151814237237,0.8908150047063828,0.10918499529361725,l1,True,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:forward|prev=KEEP,0.5626873441759742,0.8908150047063828,Viewpoint Locomotion,depth,physmem_keep,2 17 18 25 26 27 28 29 30,2 17 18 28 29 30 31 32 33,0.672959292043139,0.3541262104333355,1.862645149230957e-09,0.0,-0.04002836354912891,0.9991985438898411,0.0,1.0,0.080078125,0.0,1.0,0.080078125,1.0,1.0,Known View,0.41520195891044703,0.3153372289261253,0.35937499813735485,18,,,,turn_transition,,,rotation=0.0801,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,forward,1,1.0,False,0.75,False,False,False,False,known_view_blocked_by_motion:1.0000,,False,False,False,Viewpoint Locomotion,1.0,move=1.0000:view=0.0801:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,1.0,9,right,rotation=0.0801,turn_transition,TurnInProgress:turn_transition,Turn Right,Walk,True,True,viewpoint_locomotion,True,True,False,False,,18,0.3153372289261253,13,0.3153372289261253,False
36,18,30,34,0.950241643935442,2,2-17-18,9,225280,0.0,0.0,106.82545695453882,0.950241643935442,0.950241643935442,0.950241643935442,0.0,0.0,0.0,0.0,106.82545695453882,0.950241643935442,0.04975835606455803,l1,True,False,INSERT,physmem_rule,action_mode_locomotion_orb_insert|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.550992713442784,0.950241643935442,Walk,depth,physmem_insert,2 17 18 28 29 30 31 32 33,28 29 30 31 32 33 34 35 36,0.33962595063834333,1.3541262110542172,1.862645149230957e-09,0.0,-0.33333334140479565,1.0000000006208818,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005,Novel View,0.5,1.0540925565309003,0.0,31,,,,orb_locomotion,,,move=1.0541:Walk,,False,,False,,LocomotionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Progressing,forward,2,2.0540925565309003,True,1.0,False,False,False,False,locomotion_only_orb_dominant,,False,False,False,Locomotion Only,1.0,move=1.0541:Walk,Locomotion Only->orb_locomotion,PostTurnStabilization,1.0,1,right,mouse_stopped_after_turn,orb_locomotion,PostTurnStabilization:orb_locomotion,None,Walk,False,True,locomotion,True,True,False,False,,18,1.3536647976014218,16,1.3536647976014218,False
